date,bibref,method_category,sentence
2022,brambergerOpenBankingRepositioning2022,No specific method identified,Open Banking: Repositioning of European Financial Institutions
2022,chohanPandemicsPublicValue2022,No specific method identified,Pandemics and Public Value Management
2022,diehlmannFacilityLocationPlanning2022a,No specific method identified,Facility Location Planning in Relief Logistics: Decision Support for German Authorities
2022,fischerStructuredDecisionmakingApproach2022,No specific method identified,A Structured Decision-Making Approach for the Recovery of Kuaka/Whenua Hou Diving Petrel (Pelecanoides Whenuahouensis)
2022,hasselHowPublicPolicy2022,No specific method identified,How to Do Public Policy
2022,kawanoTheoryHistoryRegional2022,No specific method identified,Theory and History in Regional Perspective: Essays in Honor of Yasuhiro Sakai
2022,kochenderferAlgorithmsDecisionMaking2022,No specific method identified,Algorithms for Decision Making
2022,longshoreManagingLogisticsSystems2022,No specific method identified,Managing Logistics Systems: Planning and Analysis for a Successful Supply Chain
2022,satishEnablingUncertaintyQuantification,Probabilistic Methods,Enabling Uncertainty Quantification across SimCenter Modules for Simulation in Natural Hazards
2022,sutherlandTransformingConservationPractical2022,No specific method identified,Transforming Conservation: A Practical Guide to Evidence and Decision Making
2022,wintleImprovingReliabilityJudgements2022a,No specific method identified,Improving the Reliability of Judgements
2022,zhaoUncertaintyInformationMachine2022,Expert Systems and AI,Uncertainty and Information for Machine Learning Powered Decision-Making
2022,azisVisibilityInformationAccuracy2022,No specific method identified,Visibility and Information Accuracy of Coffee Supply Chain in West Java Indonesia
2022,bourbonnaisApplicationsGeographicInformation2022,No specific method identified,"Applications of Geographic Information Systems, Spatial Analysis, and Remote Sensing in Environmental Impact Assessment"
2022,brintrupDigitalSupplyChain2022,No specific method identified,"Digital Supply Chain Surveillance: Concepts, Challenges, and Frameworks"
2022,chudleighResultsPhaseImplementation2022,No specific method identified,"Results of Phase 3: Implementation, Feasibility and Evaluation of the Co-Designed Interventions"
2022,duarteConceptualisationDecisionModel2022,No specific method identified,Conceptualisation of the Decision Model and Identification of Evidence Requirements for Future Assessments
2022,dubeyDistributedCloudData2022,No specific method identified,Distributed Cloud Data Center for Efficient Services in Logistics Management
2022,ergunSupplyChainResilience2022,No specific method identified,Supply Chain Resilience: Impact of Stakeholder Behavior and Trustworthy Information Sharing with a Case Study on Pharmaceutical Supply Chains
2022,espinoza-espinozaWorkedExampleCostUtility2022,No specific method identified,Worked Example in Cost-Utility Analysis
2022,fasterlingPrivacyVulnerabilityProtection2022,No specific method identified,Privacy as Vulnerability Protection: Optimizing Trade-Offs with Opportunities to Gain Knowledge
2022,haslerApplicationsPrinciplesCase2022,No specific method identified,Applications of Principles to Case Studies Focusing on Non-Monetary Surveillance Values
2022,laragavilanezSensitivityAnalysisEvidence2022,Probabilistic Methods,Sensitivity Analysis to the Evidence in Bayesian Networks to Analyze the Elements of Humanized Childbirth Care
2022,laragavilanezSensitivityAnalysisEvidence2022,Bayesian Methods,Sensitivity Analysis to the Evidence in Bayesian Networks to Analyze the Elements of Humanized Childbirth Care
2022,madniMultimodelBasedDecisionSupport2022,No specific method identified,Multi-Model-Based Decision Support in Pandemic Management
2022,millerClinicalAmbiguityIntelligent2022,No specific method identified,Clinical Ambiguity in the Intelligent Machine Era (Treats Breaks and Discharges)
2022,payneEconomicsPrecisionMedicine2022,No specific method identified,Economics and Precision Medicine
2022,rausserPrinciplesPolicyModeling2022,No specific method identified,Principles of Policy Modeling in Food and Agriculture
2022,sarajotiSustainabilityCorporateInnovation2022,No specific method identified,Sustainability and Corporate Innovation
2022,scordisInformalTransactionalEffectual2022,No specific method identified,Informal Transactional/Effectual Networks and Entrepreneurial Innovation in Response to Uncertainty: A View on the Global Insurance Industry
2022,sharplesHealthEconomicAnalysis2022,No specific method identified,Health Economic Analysis
2022,tranevaMultilayeredInterCriteriaAnalysis2022,No specific method identified,Multi-Layered InterCriteria Analysis as a Digital Tool for Studying the Dependencies of Some Key Indicators of Mortality during the Pandemic in the European Union
2022,zelenkovExplainingITValue2022,No specific method identified,Explaining the IT Value through the Information Support of Decision-Making
2022,zhangDecisionMakingMethods2022,No specific method identified,Decision-Making Methods
2022,zhangRelationOwnershipEnvironmental2022,No specific method identified,"The Relation among Ownership, Environmental, Social, Governance (ESG), and Corporate Social Responsibility (CSR) in China"
2022,cooperFastAccurateGoverning2022,No specific method identified,Fast or Accurate? Governing Conflicting Goals in Highly Autonomous Vehicles
2022,dolatabadAnalyzingKeyPerformance2022,No specific method identified,Analyzing the Key Performance Indicators of Circular Supply Chains by Hybrid Fuzzy Cognitive Mapping and Fuzzy DEMATEL
2022,downeyCreatingEvidenceBasedPolicy2022,No specific method identified,9. Creating Evidence-Based Policy and Practice
2022,johanssonAdoptersPerceptionsSolar2022,No specific method identified,Adopters' Perceptions of Solar PV Business Models
2022,karunananthan165WhenShould2022,No specific method identified,165 When Should Systematic Reviews Be Replicated and When Is It Wasteful: A Checklist and Framework
2022,liuErgonomicsReliabilityEvaluation2022,No specific method identified,Ergonomics Reliability Evaluation of HMI Design Considering Special Circumstances Based on Improved SPAR-H and CRITIC
2022,ockendon10HowConservation2022,No specific method identified,10. How Conservation Practice Can Generate Evidence
2022,vindigniExploringConsumersAttitudes2022a,No specific method identified,"Exploring Consumers' Attitudes towards Food Products Derived by New Plant Breeding Techniques. Sustainability 2022, 14, 5995"
2022,wintleImprovingReliabilityJudgements2022,No specific method identified,5. Improving the Reliability of Judgements
2022,abdallahStateoftheartReviewBridge2022,No specific method identified,A State-of-the-Art Review of Bridge Inspection Planning: Current Situation and Future Needs
2022,abdelmaksoudFuzzylogisticModelsIncorporating2022,No specific method identified,Fuzzy-Logistic Models for Incorporating Epistemic Uncertainty in Bridge Management Decisions
2022,abrardiArtificialIntelligenceFirms2022,Expert Systems and AI,"Artificial Intelligence, Firms and Consumer Behavior: A Survey"
2022,adamsonCommunicationPersonalisedDisease2022,Bayesian Methods,"A Bayesian CEA was then performed using a lifetime Markov model on smokers aged 35--60 years that measured lifetime costs and quality-adjusted life-years (QALYs) assigned to the four diseases contributing the most to smoking-related morbidity, mortality and costs: chronic obstructive pulmonary disease, lung cancer, myocardial infarction and stroke"
2022,adDEVELOPINGFUZZYRISK2022,No specific method identified,Developing a Fuzzy Risk Assessment Model for Erpsystems
2022,adhisantharmSupplyChainTransparency2022,No specific method identified,Supply Chain Transparency for Sustainability--an Intervention-Based Research Approach
2022,adibiProgrammableInterfaceStatistical2022,Probabilistic Methods,Programmable Interface for Statistical \& Simulation Models (Prism): Towards Greater Accessibility of Clinical and Healthcare Decision Models
2022,adkisonReviewSalmonSpawnerrecruitment2022,Bayesian Methods,"This review gives an overview of the range of assessment methodologies, from the ad-hoc to hierarchical Bayesian state-space approaches"
2022,ahankoobRoleContractorsBuilding2022,No specific method identified,The Role of Contractors' Building Information Modelling (BIM) Experience in Realising the Potential Values of BIM
2022,ahernProtocolAcceptabilityFeasibility2022,No specific method identified,Protocol: Acceptability and Feasibility of an Acceptance and Commitment Therapy-Based Guided Self-Help Intervention for Weight Loss Maintenance in Adults Who Have Previously Completed a Behavioural Weight Loss Programme: The SWiM Feasibility Study Protocol
2022,ahmadDriversBarriersTravel2022,No specific method identified,Drivers and Barriers of Travel Behaviors during and Post COVID-19 Pandemic: A~Systematic Literature Review and Future~Agenda
2022,ahmadValueInformationQualitative2022,No specific method identified,The Value of Information: A Qualitative Analysis of How Trust in Information Sources Influences the Decision to Vaccinate in Parents
2022,ajenjoInfogapFrameworkRobustness2022,Robust Decision Making,An Info-Gap Framework for Robustness Assessment of Epistemic Uncertainty Models in Hybrid Structural Reliability Analysis
2022,al-mutairiScenariobasedPreferencesModeling2022,No specific method identified,Scenario-Based Preferences Modeling to Investigate Port Initiatives Resilience
2022,al-sabaawiImpactInformationTechnology2022,No specific method identified,The Impact of Information Technology Infrastructure Flexibility and Behavioral Biases on Investment Decision Making
2022,alamianDecisionmakingExportFinancing2022,No specific method identified,Decision-Making in Export Financing Services by Banks in Hungary
2022,albanLearningPersonalizedTreatment2022,No specific method identified,Learning Personalized Treatment Strategies with Predictive and Prognostic Covariates in Adaptive Clinical Trials
2022,albanValuebasedClinicalTrials2022,No specific method identified,Value-Based Clinical Trials: Selecting Recruitment Rates and Trial Lengths in Different Regulatory Contexts
2022,albarracinEpistemicCommunitiesActive2022,No specific method identified,Epistemic Communities under Active Inference
2022,albertiModellingFlexibleTwophase2022,No specific method identified,Modelling a Flexible Two-Phase Inspection-Maintenance Policy for Safety-Critical Systems Considering Revised and Non-Revised Inspections
2022,albuquerquedealmeidaHomeTelemonitoringDiagnostic2022,No specific method identified,Home Telemonitoring and a Diagnostic Algorithm in the Management of Heart Failure in the Netherlands: Cost-Effectiveness Analysis
2022,alibrandiRiskinformedDigitalTwin2022,No specific method identified,Risk-Informed Digital Twin of Buildings and Infrastructures for Sustainable and Resilient Urban Communities
2022,aliyevScientificMethodologicalBases2022,No specific method identified,Scientific and Methodological Bases of Complex Assessment of Threats and Damage to Information Systems of the Digital Economy
2022,alkhalifahExaminingPredictionCOVID192022,No specific method identified,Examining the Prediction of COVID-19 Contact-Tracing App Adoption Using an Integrated Model and Hybrid Approach Analysis
2022,alrabiahFrameworkManagingRegulatory2022,No specific method identified,A Framework for Managing Regulatory Policy Life-Cycle Challenges: An Empirical Design
2022,alrawashdhCosteffectivenessValueInformation2022,No specific method identified,Cost-Effectiveness and Value of Information Analyses of Bruton's Tyrosine Kinase Inhibitors in the Treatment of Relapsed or Refractory Mantle Cell Lymphoma in the United States
2022,alsaihatiRatePenetrationPrediction2022,No specific method identified,Rate of Penetration Prediction While Drilling Vertical Complex Lithology Using an Ensemble Learning Model
2022,alshehriEE205CostEffectivenessAnalysis2022,No specific method identified,EE205 Cost-Effectiveness Analysis of Empagliflozin versus Albiglutide among Individuals with Type 2 Diabetes in the US
2022,alyAligningAchievementSDGs2022,No specific method identified,Aligning the Achievement of SDGs with Long-Term Sustainability and Resilience: An OOBN Modelling Approach
2022,alzahraniAssessmentEconomicBurden2022,No specific method identified,Assessment of the Economic Burden of Dental Diseases
2022,ammiratoValueSystemDynamics2022,No specific method identified,The Value of System Dynamics' Diagrams for Business Model Innovation
2022,arbelThereEndogeneityProblem2022,No specific method identified,Is There an Endogeneity Problem between Health and Apartment Value? Gender Differences and the Impact of Obesity on Property Self-Evaluation
2022,arnottBehavioralEconomicsInformation2022,Behavioral Decision Theory,Behavioral Economics in Information Systems Research: Critical Analysis and Research Strategies
2022,aslaniStateoftheArtSurveyOptimization2022,Optimization Methods,The State-of-the-Art Survey on Optimization Methods for Cyber-Physical Networks
2022,autiPOSB53HealthcareResource2022,No specific method identified,POSB53 Healthcare Resource Utilization (HCRU) and Cost Studies in Patients Receiving First-Line (1L) Therapy for Advanced or Metastatic Urothelial Carcinoma (MUC): A Systematic Literature Review (SLR)
2022,awanQuantumComputingChallenges2022,Multi-Criteria Decision Analysis,A Fuzzy AHP-based Approach
2022,awanQuantumComputingChallenges2022,Fuzzy Methods,A Fuzzy AHP-based Approach
2022,azarimarhabiSustainableEnergyDevelopment2022,Real Options,Sustainable Energy Development under Uncertainty Based on the Real Options Theory Approach
2022,baiAnalysisFactorsInfluencing2022,No specific method identified,Analysis of Factors Influencing Project Portfolio Benefits with Synergy Considerations
2022,bakerClimateChangePandemics2022,No specific method identified,From Climate Change to Pandemics: Decision Science Can Help Scientists Have Impact
2022,barbierCosteffectivenessBudgetImpact2022,No specific method identified,Cost-Effectiveness and Budget Impact of Venetoclax in Combination with Rituximab in Relapsed/Refractory Chronic Lymphocytic Leukemia in Switzerland
2022,barniCombatingMisinformationDisinformation2022,No specific method identified,Combating Misinformation/Disinformation in Online Social Media: A Multidisciplinary View
2022,bastianelloDynamicallyConsistentObjective2022,No specific method identified,Dynamically Consistent Objective and Subjective Rationality
2022,beckFlexibleScalableModel2022,No specific method identified,A Flexible and Scalable Model to Improve Decision Quality in Shale Plays
2022,berdunovCosteffectivenessAnalysisOncotype2022,No specific method identified,Cost-Effectiveness Analysis of the Oncotype DX Breast Recurrence Score Test in Node-Positive Early Breast Cancer
2022,berdunovCostEffectivenessAnalysisOncotype2022,No specific method identified,Cost-Effectiveness Analysis of the Oncotype DX Breast Recurrence Score Test in Node-Negative Early Breast Cancer
2022,bhandariMultistakeholderPerspectivesDigital2022,No specific method identified,Multi-Stakeholder Perspectives on Digital Tools for US Asylum Applicants Seeking Healthcare and Legal Information
2022,biImpactInformationTransparency2022,No specific method identified,The Impact of Information Transparency on Trade Credit: The Mediation Role of Risk
2022,birantMultiviewRankbasedRandom2022,No specific method identified,Multi-View Rank-Based Random Forest: A New Algorithm for Prediction in eSports
2022,birdStudydesignPandemicsSurveillance2022,No specific method identified,Study-Design in Pandemics: From Surveillance and Performance-Evaluation to Licensing and Pharmacovigilance
2022,bismutReliabilitybasedInspectionMaintenance2022,No specific method identified,Reliability-Based Inspection and Maintenance Planning of a Nuclear Feeder Piping System
2022,bistlineCapacityRiskMetric2022,No specific method identified,Capacity at Risk: A Metric for Robust Planning Decisions under Uncertainty in the Electric Sector
2022,boettigerForecastTrap2022a,No specific method identified,The Forecast Trap
2022,bondCompetingNeuralRepresentations2022,No specific method identified,Competing Neural Representations of Choice Shape Evidence Accumulation in Humans
2022,bordleyLessonsDecisionAnalysisPractice2022,No specific method identified,Lessons for Decision-Analysis Practice from the Automotive Industry
2022,borreDevelopmentValidationDeciBHALUS2022,Probabilistic Methods,Development and Validation of DeciBHAL-US: A Novel Microsimulation Model of Hearing Loss across the Lifespan in the United States
2022,boseElicitingAmbiguousBeliefs2022,No specific method identified,Eliciting Ambiguous Beliefs Using Constructed Ambiguous Acts: Alpha-Maxmin
2022,braumanProducingValuableInformation2022,No specific method identified,Producing Valuable Information from Hydrologic Models of Nature-Based Solutions for Water
2022,brownChoosingOptimalTrigger2022,No specific method identified,"Choosing Optimal Trigger Points for Ex Situ, in Toto Conservation of Single Population Threatened Species"
2022,buddenhagenWhereInvestProject2022,No specific method identified,Where to Invest Project Efforts for Greater Benefit: A Framework forManagement Performance Mapping with Examples for Potato Seed Health
2022,bullPartiallySupervisedLearning2022,No specific method identified,Partially Supervised Learning for Data-Driven Structural Health Monitoring
2022,burbano-figueroaActiveSearchSolutions2022,Decision Trees and Networks,An Active Search for Solutions in Agricultural Systems: A Decision Analysis Perspective
2022,burbano-figueroaProfitabilityFarmscaleManagement2022a,No specific method identified,Profitability of Farm-Scale Management Strategies against the Boll Weevil in the Tropics: Case Study from the Colombian Caribbean
2022,bussoDemandTelemedicineEvidence2022,No specific method identified,On the Demand for Telemedicine: Evidence from the COVID-19 Pandemic
2022,butlerFunctionalityScarceHealthcare2022,Probabilistic Methods,Functionality of Scarce Healthcare Resource Triage Teams during the Covid-19 Pandemic: A Multi-Institutional Simulation Study
2022,buxtonBalancingResearchMonitoring2022,No specific method identified,"Balancing Research, Monitoring, and Action to Recover Canada's Species at Risk"
2022,byngCosteffectivenessAnalysis70gene2022,No specific method identified,Cost-Effectiveness Analysis of the 70-Gene Signature Compared with Clinical Assessment in Breast Cancer Based on a Randomised Controlled Trial
2022,cadhamUseExpertElicitation2022,Delphi and Expert Judgment,The Use of Expert Elicitation among Computational Modeling Studies in Health Research: A Systematic Review
2022,camilleriCrowdfundingSmallBusinesses2022,No specific method identified,"Crowdfunding Small Businesses and Startups: A Systematic Review, an Appraisal of Theoretical Insights and Future Research Directions"
2022,capobiancoHighdimensionalRoleAI2022,Expert Systems and AI,High-Dimensional Role of AI and Machine Learning in Cancer Research
2022,caronOptimalSampleSize2022,No specific method identified,"The Optimal Sample Size for Usability Testing, from the Manufacturer's Perspective: A Value-of-Information Approach"
2022,cartyPopulationbasedTestingUndiagnosed2022,No specific method identified,Population-Based Testing for Undiagnosed Hepatitis C: A Systematic Review of Economic Evaluations
2022,caulleyCosteffectivenessDirectSurgery2022,No specific method identified,Cost-Effectiveness of Direct Surgery versus Preoperative Octreotide Therapy for Growth-Hormone Secreting Pituitary Adenomas
2022,chagumairaMappingSoilMicronutrient2022,No specific method identified,Mapping Soil Micronutrient Concentration at National-Scale: An Illustration of a Decision Process Framework
2022,changSupplyChainMovement2022,No specific method identified,Supply Chain Movement Risk in the Sneaker Industry: An Empirical Study
2022,chappellPandemicEthicsStatus2022,No specific method identified,Pandemic Ethics and Status Quo Risk
2022,chartashInformaticsUndergraduateMedical2022,No specific method identified,Informatics in Undergraduate Medical Education: Analysis of Competency Frameworks and Practices across North America
2022,chenDynamicRiskAssessment2022,No specific method identified,Dynamic Risk Assessment for Geologic CO2 Sequestration
2022,chengDecisionModelingEvaluation2022,No specific method identified,Decision Modeling and Evaluation of Enterprise Digital Transformation Using Data Mining
2022,chenResearchMarineEconomic2022,No specific method identified,Research on Marine Economic Development Information Management System Based on Supply Chain Technology
2022,chiangAugmentedRealityInteractive2022,No specific method identified,Augmented Reality Interactive Technology and Interfaces: A Construal-Level Theory Perspective
2022,choiAchievingEconomicSustainability2022,Probabilistic Methods,Achieving Economic Sustainability: Operations Research for Risk Analysis and Optimization Problems in the Blockchain Era
2022,choiAchievingEconomicSustainability2022,Optimization Methods,Achieving Economic Sustainability: Operations Research for Risk Analysis and Optimization Problems in the Blockchain Era
2022,choiDatadrivenCSRInitiatives2022,No specific method identified,Do Data-Driven CSR Initiatives Improve CSR Performance? The Importance of Big Data Analytics Capability
2022,choudharyModelManagingReturns2022,No specific method identified,A Model for Managing Returns in a Circular Economy Context: A Case Study from the Indian Electronics Industry
2022,chrysafiQuantifyingEarthSystem2022,Delphi and Expert Judgment,Quantifying Earth System Interactions for Sustainable Food Production via Expert Elicitation
2022,cicchettiEE128FacingChallenge2022,No specific method identified,EE128 Facing the Challenge of Ageing: Cost-Effectiveness of the SPRINT-T Protocol
2022,clarkAdaptiveManagementTool2022,No specific method identified,Adaptive Management as a Tool for Effective Environmental Management of Deep-Sea Mining
2022,clarkeCostutilityAnalysisMajor2022,No specific method identified,"Cost-Utility Analysis of Major System Change in Specialist Cancer Surgery in London, England, Using Linked Patient-Level Electronic Health Records and Difference-in-Differences Analysis"
2022,cohenPreprintNotPreprint2022,No specific method identified,To Preprint or Not to Preprint? An Evolving Landscape for the Dissemination of Health Economics and Outcomes Research
2022,collierBalancingRiskTrust2022,No specific method identified,Balancing Risk and Trust for Strategic Alliance Formation Decisions
2022,collierDecisionModelQuantification2022a,No specific method identified,Decision Model with Quantification of Buyer-Supplier Trust in Advanced Technology Enterprises
2022,coloWhyAreScientific2022,No specific method identified,Why Are Scientific Forecasts Regarding Climate Change Unable to Trigger Its Mitigation?
2022,comfortCognitionCollectiveAction2022,No specific method identified,"Cognition, Collective Action, and COVID-19: Managing Crises in Real Time"
2022,contreraslopezCrosssectoralReviewCurrent2022,No specific method identified,A Cross-Sectoral Review of the Current and Potential Maintenance Strategies for Composite Structures
2022,coombsElaboratingConceptThreat2022,No specific method identified,Elaborating the Concept of Threat in Contingency Theory: An Integration with Moral Outrage and Situational Crisis Communication Theory
2022,copelandAdaptingPopulationHealth2022,No specific method identified,"Adapting Population Health Interventions for New Contexts: Qualitative Interviews Understanding the Experiences, Practices and Challenges of Researchers, Funders and Journal Editors"
2022,costa-gomesCharitableGivingNormative2022,No specific method identified,Charitable Giving under Normative Uncertainty: Experimental Evidence on the Behavioral Impact of Normative Expert Advice
2022,costaBibliometricStudiesMulticriteria2022,Multi-Criteria Decision Analysis,Bibliometric Studies on Multi-Criteria Decision Analysis (MCDA) Methods Applied in Military Problems
2022,costaBibliometricStudiesMulticriteria2022,Decision Trees and Networks,Bibliometric Studies on Multi-Criteria Decision Analysis (MCDA) Methods Applied in Military Problems
2022,coxUnifiedMetricCosting2022,No specific method identified,A Unified Metric for Costing Tailings Dams and the Consequences for Tailings Management
2022,crawfordPopulationViabilityAnalysis2022,No specific method identified,Population Viability Analysis for a Pond-Breeding Amphibian under Future Drought Scenarios in the Southeastern United States
2022,crespiEE76BudgetAnalysis2022,No specific method identified,EE76 Budget Analysis of Etonogestrel Subdermal Contraceptive Implant (ESI) Compared to Levonorgestrel Intrauterine Device (LNG-IUD) Reimbursed on the Brazilian Private Health Insurance and Plans
2022,cuthbertStrategicDataPattern2022,No specific method identified,Strategic Data Pattern Visualisation
2022,daiDesigningAIaugmentedHealthcare2022,Expert Systems and AI,"artificial intelligence (AI),economics of AI,healthcare operations management,human-AI interaction,service design"
2022,daifenEvaluateSustainableMarketing2022,No specific method identified,Evaluate the Sustainable Marketing Strategy to Optimal Online Leasing of New Energy Vehicles under the Background Big Data Economy
2022,dariusantoniCriticalFactorsTransparency2022,No specific method identified,Critical Factors of Transparency and Trust for Evaluating E-government Services for the Poor
2022,dasBuildingSupplyChain2022,Multi-Criteria Decision Analysis,Building Supply Chain Resilience in the Era of COVID-19: An AHP-DEMATEL Approach
2022,davisPolicyExperimentsFinancial2022,No specific method identified,Policy Experiments and Financial Regulation: Using Laboratory Methods to Evaluate Responses to the 2007--2009 Financial Crisis
2022,decarvalhoChoosingMetamodelSimulation2022,Probabilistic Methods,Choosing a Metamodel of a Simulation Model for Uncertainty Quantification
2022,dediegoMappingResearchTrends2022,No specific method identified,Mapping Research Trends on Strategic Agility over the Past 25 Years: Insights from a Bibliometric Approach
2022,delongStakeholderdrivenAdaptiveResearch2022,No specific method identified,Stakeholder-Driven Adaptive Research (SDAR): Better Research Products
2022,denkenbergerLongTermCosteffectiveness2022,No specific method identified,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety
2022,dijkEmergingTherapiesCOVID192022,No specific method identified,Emerging Therapies for COVID-19: The Value of Information from More Clinical Trials
2022,dimaraCriticalReflectionVisualization2022,No specific method identified,A Critical Reflection on Visualization Research: Where Do Decision Making Tasks Hide?
2022,dinarDevelopingDecisionSupport2022,Expert Systems and AI,"Developing a Decision Support System for Regional Agricultural Nonpoint Salinity Pollution Management: Application to the San Joaquin River, California"
2022,dongHumanmachineHybridPrediction2022,No specific method identified,Human-Machine Hybrid Prediction Market: A Promising Sales Forecasting Solution for E-commerce Enterprises
2022,downsClinicalDecisionmaking2022,No specific method identified,Clinical Decision-Making
2022,drakakiColoredPetriNetbased2022,No specific method identified,A Colored Petri Net-Based Modeling Method for Supply Chain Inventory Management
2022,drakakiDayaheadEnergyProduction2022,No specific method identified,Day-Ahead Energy Production in Small Hydropower Plants: Uncertainty-Aware Forecasts through Effective Coupling Of$<$? Xmltex backslashbreak?$>$ Knowledge and Data
2022,dromnelleReducingComputationalCost2022,No specific method identified,Reducing Computational Cost during Robot Navigation and Human--Robot Interaction with a Human-Inspired Reinforcement Learning Architecture
2022,dursunDataPoolingMultiple2022,No specific method identified,Data Pooling for Multiple Single-Component Systems under Population Heterogeneity
2022,dwivediTwophaseApproachEfficiently2022,No specific method identified,A Two-Phase Approach to Efficiently Support Product Recovery Systems in a Circular Economy Context
2022,dzingiraiOP28HealthTechnology2022,No specific method identified,OP28 Health Technology Assessment: A Situation Analysis of Zimbabwe
2022,echogdaliApplicationFuzzyLogic2022,Fuzzy Methods,"Application of Fuzzy Logic and Fractal Modeling Approach for Groundwater Potential Mapping in Semi-Arid Akka Basin, Southeast Morocco"
2022,eckermannGloballyOptimalTrial2022,No specific method identified,"Globally Optimal Trial Design and Risk Sharing Arrangements Are Key to Avoiding Opportunity Cost of Delay and Enabling Equitable, Feasible and Effective Global Vaccine Research and Implementation in Current or Future Pandemics"
2022,edneyEmpiricalEstimatesMarginal2022,No specific method identified,Empirical Estimates of the Marginal Cost of Health Produced by a Healthcare System: Methodological Considerations from Country-Level Estimates
2022,eichlerPrecisionReimbursementPrecision2022,No specific method identified,Precision Reimbursement for Precision Medicine: Using Real-World Evidence to Evolve from Trial-and-Project to Track-and-Pay to Learn-and-Predict
2022,elrabadiP25PotentialAreas2022,No specific method identified,P25 Potential Areas of Focus for the Future EU HTA Methodology: Discrepancies between Eunethta vs National Evaluations
2022,emmert-feesEstimatingImpactNutrition2022,Probabilistic Methods,"Estimating the Impact of Nutrition and Physical Activity Policies with Quasi-Experimental Methods and Simulation Modelling: An Integrative Review of Methods, Challenges and Synergies"
2022,erTrustawareProcessDesign2022,No specific method identified,Trust-Aware Process Design: The Case of GoFood
2022,essilaStrategiesReducingHealthcare2022,No specific method identified,Strategies for Reducing Healthcare Supply Chain Inventory Costs
2022,ezeMultidimensionalFrameworkInformation2022,No specific method identified,Multi-Dimensional Framework of the Information Behaviour of SMEs on Emerging Information Communication Technology (EICT) Adoption
2022,fabregasParametricEvaluationInternet2022,No specific method identified,Parametric Evaluation of Internet of Things Applications to Freight Transportation Using Model-Based Systems Engineering
2022,federiciExploringMisalignmentValue2022,No specific method identified,Exploring the Misalignment on the Value of Further Research between Payers and Manufacturers. A Case Study on a Novel Total Artificial Heart
2022,federiciPOSB52ExploringMisalignment2022,No specific method identified,POSB52 Exploring the Misalignment on the Value of Further Research between Payers and Manufacturers: A Case Study on a Novel Total Artificial Heart
2022,feizabadiMachineLearningDemand2022,Expert Systems and AI,Machine Learning Demand Forecasting and Supply Chain Performance
2022,fengServiceFairnessValue2022,Probabilistic Methods,Service Fairness and Value of Customer Information for the Stochastic Container Relocation Problem under Flexible Service Policy
2022,ferketCosteffectivenessFrameworksComparing2022,No specific method identified,Cost-Effectiveness Frameworks for Comparing Genome and Exome Sequencing versus Conventional Diagnostic Pathways: A Scoping Review and Recommended Methods
2022,fischerUsingSurrogateTaxa2022,No specific method identified,Using Surrogate Taxa to Inform Response Methods for Invasive Grass Carp in the Laurentian Great Lakes
2022,fizzaSurveyEvaluatingQuality2022,No specific method identified,A Survey on Evaluating the Quality of Autonomic Internet of Things Applications
2022,flemingRangewidePopulationProjections2022,No specific method identified,Range-Wide Population Projections for Northern Red-Bellied Cooters (Pseudemys Rubriventris)
2022,flightExpectedValueSample2022,No specific method identified,Expected Value of Sample Information to Guide the Design of Group Sequential Clinical Trials
2022,foellingSystematicApproachMastering2022,No specific method identified,A Systematic Approach towards Mastering Complexity through Hybrid Assembly Planning
2022,follmerActiveMultitaskLearning2022,No specific method identified,Active Multitask Learning with Uncertainty-Weighted Loss for Coronary Calcium Scoring
2022,foltUsingPredictionsMultiple2022,No specific method identified,Using Predictions from Multiple Anthropogenic Threats to Estimate Future Population Persistence of an Imperiled Species
2022,forslundCircularSupplyChains2022,No specific method identified,Toward Circular Supply Chains for Flat Glass: Challenges of Transforming to More Energy-Efficient Solutions
2022,foutWhenAppraisersGo2022,Delphi and Expert Judgment,"When Appraisers Go Low, Contracts Go Lower: The Impact of Expert Opinions on Transaction Prices"
2022,francoExpectationsEconomicUncertainty2022,No specific method identified,"Expectations, Economic Uncertainty, and Sentiment"
2022,freemanAnalysisResilienceSituations2022,No specific method identified,Analysis of Resilience Situations for Complex Engineered Systems - the Resilience Holon
2022,freemanChallengesModellingApproaches2022,No specific method identified,Challenges of Modelling Approaches for Network Meta-Analysis of Time-to-Event Outcomes in the Presence of Non-Proportional Hazards to Aid Decision Making: Application to a Melanoma Network
2022,frempongEarlyEconomicEvaluation2022,No specific method identified,Early Economic Evaluation of an Intervention to Improve Uptake of the NHS England Diabetes Prevention Programme
2022,fusterExpectationsEndogenousInformation2022,No specific method identified,Expectations with Endogenous Information Acquisition: An Experimental Investigation
2022,ganuzaQualityEvidenceLegal2022,No specific method identified,Quality of Evidence and Legal Decision-Making
2022,gaoMechanicalEquipmentHealth2022,No specific method identified,Mechanical Equipment Health Management Method Based on Improved Intuitionistic Fuzzy Entropy and Case Reasoning Technology
2022,gaoSoftcooperationDataSharing2022,No specific method identified,Soft-Cooperation via Data Sharing Eases Transboundary Conflicts in the Lancang-Mekong River Basin
2022,garcia-diazIdentifyingPrioritiesTargets2022,Bayesian Methods,"Identifying Priorities, Targets, and Actions for the Long-Term Social and Ecological Management of Invasive Non-Native Species"
